2026-09-15 12:28:48 INFO  [main] org.testng.internal.Utils - [TestNG] Running:
  C:\Users\ahmed\IdeaProjects\Automation_Project_eCommerce\testng.xml

2026-09-15 12:28:49 INFO  [TestNG-PoolService-1] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 12:28:49 INFO  [TestNG-PoolService-1] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 13:20:56 INFO  [main] org.testng.internal.Utils - [TestNG] Running:
  C:\Users\ahmed\AppData\Local\JetBrains\IntelliJIdea2025.3\temp-testng-customsuite.xml

2026-09-15 13:20:56 INFO  [main] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 13:20:56 INFO  [main] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 13:21:27 INFO  [main] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 13:21:27 INFO  [main] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 13:28:26 INFO  [main] org.testng.internal.Utils - [TestNG] Running:
  C:\Users\ahmed\AppData\Local\JetBrains\IntelliJIdea2025.3\temp-testng-customsuite.xml

2026-09-15 13:28:26 INFO  [main] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 13:28:26 INFO  [main] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 13:52:11 INFO  [main] org.testng.internal.Utils - [TestNG] Running:
  C:\Users\ahmed\AppData\Local\JetBrains\IntelliJIdea2025.3\temp-testng-customsuite.xml

2026-09-15 13:52:13 INFO  [main] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 13:52:13 INFO  [main] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:41:08 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:41:08 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:41:08 INFO  [TestNG-PoolService-1] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:41:08 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:41:08 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:41:08 INFO  [TestNG-PoolService-1] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:42:00 INFO  [TestNG-test-smoke tests-1] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:42:00 INFO  [TestNG-test-smoke tests-1] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:43:45 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:43:45 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:43:49 INFO  [TestNG-PoolService-1] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:43:49 INFO  [TestNG-PoolService-1] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:44:49 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:44:49 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:44:55 INFO  [TestNG-test-smoke tests-1] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:44:55 INFO  [TestNG-test-smoke tests-1] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:45:54 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:45:54 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:47:11 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:47:11 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:47:23 INFO  [TestNG-test-smoke tests-1] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:47:23 INFO  [TestNG-test-smoke tests-1] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:48:41 INFO  [TestNG-test-smoke tests-1] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:48:41 INFO  [TestNG-test-smoke tests-1] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:48:57 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:48:57 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:49:11 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:49:11 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:49:41 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:49:42 INFO  [TestNG-test-smoke tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:50:50 INFO  [TestNG-PoolService-1] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:50:50 INFO  [TestNG-PoolService-1] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-15 14:51:13 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-15 14:51:13 INFO  [TestNG-tests-2] io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\ahmed\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
